"Sample","Y","X"
"MAPP_001",57.298333,14.010833
"MAPP_002",57.2983278670483,14.0108314437246
"MAPP_003",57.2983415084882,14.0108337555593
"MAPP_004",62.314951,34.009384
"MAPP_005",62.314898,34.00927
"MAPP_006",62.314803,34.00966
"MAPP_007",60.121213,30.011734
"MAPP_008",60.1212175157215,30.011739
"MAPP_009",54.762202,43.372438
"MAPP_010",54.762259,43.372354
"MAPP_011",54.762057,43.372316
"MAPP_012",53.30391944,45.13605278
"MAPP_013",53.30380556,45.13624167
"MAPP_014",53.303848,45.136327
"MAPP_015",60.096937,32.409964
"MAPP_016",60.096946,32.409944
"MAPP_017",61.35792,33.251727
"MAPP_018",61.357938,33.251734
"MAPP_019",55.669349,36.713546
"MAPP_020",66.54533,33.10646
"MAPP_021",66.54532,33.10652
"MAPP_022",66.54527,33.1066
"MAPP_023",58.526029,37.577279
"MAPP_024",57.991486,33.37309
"MAPP_025",57.991459,33.373141
"MAPP_026",57.991502,33.37365
"MAPP_027",58.556127,37.980251
"MAPP_028",58.55492,37.976976
"MAPP_029",55.601186,40.149488
"MAPP_030",55.60122,40.149614
"MAPP_031",55.601226,40.149407
"MAPP_032",55.669074,36.713581
"MAPP_033",55.669284,36.71348
"MAPP_034",43.8789,-1.26248
"MAPP_035",43.88371,-1.24756
"MAPP_036",44.27495,-0.78193
"MAPP_037",44.34022,-0.61855
"MAPP_038",53.423194,-9.714788
"MAPP_039",53.401868,-9.43587
"MAPP_040",53.9931,-9.691109
"MAPP_041",45.423104,-79.53712
"MAPP_043",42.348333,126.362778
"MAPP_044",42.224722,126.519167
"MAPP_045",42.036944,128.3275
"MAPP_046",42.478333,128.6625
"MAPP_048",47.740337,-69.610532
"MAPP_049",46.767435,-77.995556
"MAPP_050",47.9417502,-64.5239697
"MAPP_051",47.714249,-65.2733732
"MAPP_052",46.308548,-65.142497
"MAPP_053",46.992013,-64.83981
"MAPP_055",48.877515,-71.813685
"MAPP_056",48.757992,-71.726347
"MAPP_057",57.90997,26.68533
"MAPP_058",58.61412,24.2392
"MAPP_059",58.903816,22.645054
"MAPP_060",58.556626,25.889696
"MAPP_061",58.537912,25.861975
"MAPP_062",64.70345,-148.2962
"MAPP_063",64.70294,-148.2949
"MAPP_064",64.70239,-148.2928
"MAPP_065",64.70099,-148.3125
"MAPP_066",64.70015,-148.3145
"MAPP_067",64.69923,-148.3151
"MAPP_068",54.88347,-6.5497
"MAPP_069",54.885308,-6.547936
"MAPP_070",54.887145,-6.55074
"MAPP_071",54.886594,-6.547746
"MAPP_072",58.8749,26.251
"MAPP_073",58.8749035312911,26.2510070498595
"MAPP_074",58.8749068511845,26.2510004948032
"MAPP_075",58.8749080944673,26.2510010521584
"MAPP_076",58.8749033093464,26.2510029740758
"MAPP_077",61.8325,24.192778
"MAPP_078",52.9037,-3.8815
"MAPP_079",52.5023,-4.0113
"MAPP_084",58.01124,24.68332
"MAPP_086",59.32185,24.75101
"MAPP_087A",59.269381236905,27.552245158619
"MAPP_088",58.991648,24.084077
"MAPP_090",57.96751,24.68305
"MAPP_091",59.117245,24.04687
"MAPP_105",49.74702,-125.234071
"MAPP_126",60.045261,17.330458
"MAPP_127",60.04628,17.332558
"MAPP_128",59.953075,17.299372
"MAPP_129",59.947705,17.32453
"MAPP_130",58.534878,15.47928
"MAPP_131",50.2548,-63.59105
"MAPP_132",50.22827,-62.03592
"MAPP_133",50.15443,-61.67392
"MAPP_134",50.829165,-63.333046
"MAPP_135",50.2894,-64.35123
"MAPP_136",50.314641,-65.226414
"MAPP_137",50.201439,-66.678703
"MAPP_138",49.173828,-68.342431
"MAPP_139",45.9558,3.6646
"MAPP_140",45.48079,2.84594
"MAPP_141",45.46788,2.93149
"MAPP_142",45.38494,2.92313
"MAPP_153",45.475279,3.967489
"MAPP_154",42.219797,126.545344
"MAPP_155",42.04835,128.052047
"MAPP_156",41.863203,128.006611
"MAPP_157",44.104558,128.043294
"MAPP_158",30.399564,119.440742
"MAPP_159",37.8009977,-25.2388694
"MAPP_160",37.7998967,-25.2453227
"MAPP_161",39.709119,-31.106911
"MAPP_167",39.446258,-31.175661
"MAPP_168",39.451058,-31.226906
"MAPP_169",60.2823544,17.8216873
"MAPP_170",47.581058,14.345877
"MAPP_171",46.54722,8.70139
"MAPP_172",46.159917,6.553667
"MAPP_173",47.005833,6.665
"MAPP_174",47.238333,7.043611
"MAPP_181",44.663333,-66.789444
"MAPP_182",44.6633406669938,-66.7894420978682
"MAPP_183",44.661389,-66.790556
"MAPP_184",45.938611,-66.671111
"MAPP_185",45.938333,-66.670833
"MAPP_191",47.178862,6.789309
"MAPP_192",48.802047,1.423023
"MAPP_193",48.8020526033376,1.42302256735068
"MAPP_194",42.802248,1.423177
"MAPP_195",42.80206,1.422952
"MAPP_196",42.8020651722926,1.42295587951031
"MAPP_197",53.18775,-2.61822
"MAPP_202",42.827882,1.7999628
"MAPP_203",42.8278872244533,1.7999690187027
"MAPP_204",42.805204,1.372466
"MAPP_210",67.36865977,26.65420873
"MAPP_211",67.4287588,26.50205305
"MAPP_212",67.99565365,24.20182706
"MAPP_213",67.99730626,24.20914291
"MAPP_214",60.64581159,23.97175438
"MAPP_215",42.8231437,1.783198731
"MAPP_216",42.82317842,1.783128652
"MAPP_217",42.82323628,1.783066725
"MAPP_218",42.83559186,1.789886627
"MAPP_219",42.83537002,1.790070732
"MAPP_220",50.434283,12.676686
"MAPP_221",52.806097,13.749117
"MAPP_222",52.50115,9.371211
"MAPP_223",53.2959,13.474194
"MAPP_224",50.512052,10.064813
"MAPP_225",43.11,-0.096111
"MAPP_226",43.082778,-0.094167
"MAPP_230",46.826233,6.17245
"MAPP_238",46.8264,6.17233208087222
"MAPP_242",42.717842,2.02785
"MAPP_243",42.700581,2.059013
"MAPP_246A",68.883333,21.05
"MAPP_246C",48.009105,6.960435
"MAPP_247",68.8833418380747,21.0500007455658
"MAPP_248",70.116667,28.466667
"MAPP_249",70.1166624121296,28.4666610297844
"MAPP_250",69.816667,27.166667
"MAPP_251",69.8166720945992,27.1666670406877
"MAPP_255",61.858594,24.235378
"MAPP_256B",61.8586027287959,24.2353755075353
"MAPP_257",61.85859766677,24.2353739568417
"MAPP_259",68.81075315,23.82880244
"MAPP_260",68.8324625,23.9126
"MAPP_261",68.83416135,23.91048788
"MAPP_262",68.83383111,23.82968278
"MAPP_263",68.8309907,23.84485936
"MAPP_264",61.8325048571301,24.1927852596883
"MAPP_265",61.8324964929911,24.1927758234078
"MAPP_266",61.8325059063563,24.1927810076499
